combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.143704801500,0.158944893822,0.249350174086,0.184018394532,0.223026114530,0.234423319407,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,-0.1405797358,-0.009608307273,0.09022809726,0.3613692014,,Subsidiarity=0,-0.09557847732,-0.009608307273,0.09022809726,0.2563988193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And that the farmers are paid fairly.,0.046051998834,0.170971892866,0.232182634827,0.190638406417,0.173000666572,0.233839440670,,,1,0,0,0,2,0,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.05350974591,0.1259135517,0.1822925733,0.29551782,,Subsidiarity=1,0.05727186572,0.1259135517,0.1822925733,0.2904660447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional produce - worldwide At SONNENTOR, farmers benefit from the fruits of their work - and with them, whole regions.",-0.088416126003,0.085716851235,0.227813653042,0.074062247381,0.095539496760,0.215219810597,,,0,2,0,0,0,0,,2,Subsidiarity,13,E,M,Subsidiarity=2,0.06166227609,0.1208288159,0.1790582886,0.3058805072,,Subsidiarity=2,0.06304813795,0.1208288159,0.1790582886,0.2990015891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the sustainable practice of our international cultivation partners, value is added to their products.",0.128096147567,0.122501371526,0.311717344906,0.129587191850,0.202134227873,0.445679706885,,,0,0,0,0,0,2,,0,Reciprocity,14,F,N,Reciprocity=0,-0.1365071638,0.01464764547,0.1096799133,0.4587873259,,Reciprocity=0,-0.08390387998,0.01464764547,0.1096799133,0.296725265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products are harvested by hand and processed on site.,0.033045227294,-0.030196668115,0.066231159402,0.070450516958,0.066499644036,0.147511241890,,,0,0,0,0,0,0,,1,Reciprocity,14,F,N,Reciprocity=1,-0.08988755371,0.05109748947,0.1976598454,0.3968036349,,Reciprocity=1,-0.05468200856,0.05109748947,0.1976598454,0.3452981787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This creates jobs in rural areas and secures the existence of many farmers' families over several generations.,-0.011351739835,0.097788960034,0.223309570538,0.193538315211,0.181056875125,0.214967016774,,,0,2,0,0,0,0,,2,Reciprocity,14,F,N,Reciprocity=2,-0.002735426411,0.125707825,0.2742373942,0.4905705829,,Reciprocity=2,0.01896384047,0.125707825,0.2742373942,0.459384749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because organic cultivation protects the soils and sets the best conditions for long-term, fertile harvests.",-0.016245576838,-0.079405555562,0.112238015156,-0.018495047180,0.008943737840,0.185575993963,,,0,0,0,0,0,2,,0,Sustainability,15,G,O,Sustainability=0,-0.1745362314,0.05051310078,0.1737716131,0.4895668523,,Sustainability=0,-0.07217711914,0.05051310078,0.1737716131,0.3557192941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are convinced that this is the right path of international cooperation, and many more companies will eventually take the step towards direct trade.",-0.092155179497,0.038450203783,0.202393319218,0.109492720398,0.209652344646,0.028711749783,,,0,0,0,0,2,0,,1,Sustainability,15,G,O,Sustainability=1,-0.04720908825,0.09647563336,0.2245199662,0.4456042303,,Sustainability=1,0.0007739013773,0.09647563336,0.2245199662,0.3846544214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A start has been made.,0.044115641940,0.157562234555,0.143568468449,0.021763021856,0.072754852538,0.137236700122,,,0,0,0,0,0,0,,2,Sustainability,15,G,O,Sustainability=2,-0.03962904319,0.1292008533,0.2812627645,0.5977392897,,Sustainability=2,-0.01872885334,0.1292008533,0.2812627645,0.5132502413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallery Fairness, worldwide!",0.249925984812,0.253148246735,0.279353492358,0.214067925664,0.257828592555,0.158393921451,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW ZEALAND - LAND OF MANUKA HONEY Bernhard Schneider is the only organic beekeeper within 45,000 hectares of land.",0.009096741574,0.012960626894,0.069108359621,0.085502498261,-0.029046441497,0.207888080887,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In total, he has access to 732 hectares of land for his honey production, of which 300 hectares are part of an afforestation program.",-0.030907138104,0.001194112162,0.112194421258,0.150278272022,0.004683658539,0.221477456575,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This project not only produces delicious honey, but the planting and conservation of trees also compensates for large amounts of CO2.",-0.045889277883,0.082397345535,0.163501322979,0.005967230363,0.047910476803,0.130668189273,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey Maori, the natives of New Zealand, have known of the extraordinary qualities of this honey for a long time.",0.062636615627,0.057970849364,0.111142523717,0.003555797559,0.035329020731,0.121346289025,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey originates from the flower nectar of the Manuka myrtle, or just Manuka, a hardy bush in the mountainous regions of New Zealand.",-0.054829342521,-0.001619897529,0.007496000074,-0.054622256433,0.033180341351,0.025915228664,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey extracted from this plant has special healing properties.,-0.083005634198,-0.067713431942,-0.044739181635,-0.023046596064,0.014364552709,-0.014544002059,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey is full-bodied in flavour and to preserve the special properties of the honey, it should not be heated and therefore not used in hot tea.",-0.044425995193,-0.032790667104,0.024190884967,-0.034655232328,0.038254740712,-0.053848919232,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It has a slightly minty flavour at the finish.,-0.017914102913,0.008816794337,0.017176670445,-0.113103390571,0.020667673986,-0.001304753882,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey is best enjoyed on an empty stomach and never with hot liquid, so that it can unfold its full potential.",-0.003770074486,-0.032919178422,-0.027180296101,-0.041706165866,0.039137908816,-0.027492345054,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee happy!,0.044159080621,0.116719028744,0.047464621478,0.004948081470,0.026769900224,0.121783849731,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contribution to nature conservation No intervention in the natural cycles of the insects, counteracts bee die-off and SONNENTOR thyme oil is used as a natural and effective remedy against Varroa mite.",-0.030829888870,-0.066215322262,0.007181287117,-0.019690506747,-0.039361440424,0.051110298484,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consequently, the burning of infested beehives can be prevented.",-0.060123592400,-0.019666285222,0.032380441716,0.100874904520,-0.028801048560,0.106679188360,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Further, enough honey is left for the bees in the hives, no additional sugar is needed to feed them and no chemicals are added to the hives.",-0.024317049841,0.007894008645,0.016208169480,0.038820199845,-0.077899551526,0.029801135376,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement of the valence of Manuka honey TA factor TA means total activity and shows the disinfecting effect of the honey by measuring the natural peroxide activity.,0.013084879527,0.064837650867,0.003227121473,-0.041950237653,0.077170574889,0.018914771477,,,0,0,0,0,0,0,,Gauss Curve Data,,,,List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In principle, the higher the factor, the more valuable the honey.",0.122797184941,0.132720594270,0.219837170661,0.149503791380,0.254175274853,0.173746229733,,,0,0,0,0,0,0,,Variance,Mean,Stddev,Label,0.6,0.615,0.63,0.645,0.66,0.675,0.69,0.705,0.72,0.735,0.75,0.765,0.78,0.795,0.81,0.825,0.84,0.855,0.87,0.885,0.9,0.915,0.93,0.945,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Each honey has a TA-factor, but with Manuka honey it is particularly high.",0.013164541963,0.049597947801,0.080147205830,-0.052209511798,0.075288936187,-0.033525973369,,,0,0,0,0,0,0,,0.006951280741,0.028307671823,0.08337434103,Dignity=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04516952487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We have opted for the TA-Factor, since this factor cannot be influenced unlike other factors and can be clearly measured and not manipulated.",0.032079020338,0.090531790768,0.137332548024,0.063243538036,0.109881892566,0.026167616947,,,0,0,0,0,1,0,,0.007021328438,0.071829697000,0.08379336751,Dignity=1,0.0000000001122638211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03297109841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The TA factor is ascertained by drawing a sample, applying it to a nutrient agar plate and measuring the percentage of the bacteria on the nutrient plate that have been killed by the honey.",-0.007258651670,0.085341712343,0.023277883341,0.013400878686,0.040817980639,0.048522845587,,,0,0,0,0,0,0,,0.01237017109,0.151713144929,0.1112212708,Dignity=2,0.00001064217886,0.000006123541845,0.000003459995073,0.000001919768781,0.000001045979141,0.000000559625863,0.0000002940175027,0.0000001516873088,0.00000007684683087,0.00000003822991499,0.00000001867589212,0.000000008959010289,0.000000004220261561,0.000000001952177736,0.0000000008867475492,0.0000000003955316969,0.0000000001732460105,0,0,0,0,0,0,0,0,0.01414756149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGO factor refers to the level of methylglyoxal in the honey.,-0.073718854344,-0.055745664571,-0.043058960340,-0.035097879148,-0.001351746230,-0.045832687083,,,0,0,0,0,0,0,,0.007289227614,0.055690354211,0.08537697356,Solidarity=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03777266711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylglyoxal is produced by the degradation of glucose.,-0.127356293541,-0.136682560957,-0.069504135196,-0.140579735767,-0.136507163753,-0.000259190381,,,0,0,0,0,0,0,,0.00981026729,0.130595184166,0.09904679343,Solidarity=1,0.0000005344316814,0.0000002577555141,0.0000001214963198,0.00000005597030454,0.00000002519948155,0.00000001108829905,0.000000004768454506,0.000000002004147797,0.0000000008232300908,0.0000000003304852766,0.0000000001296648866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01688730005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Among other things, MGO is responsible for premature aging of the cells and is also produced during the combustion of diesel.",-0.114858645677,-0.114815264477,-0.024382037273,-0.096070876453,-0.058479233375,-0.023669802387,,,0,0,0,0,0,0,,0.01183137525,0.141674038518,0.1087721253,Solidarity=2,0.000005116880022,0.000002834777767,0.000001540897403,0.0000008218060797,0.0000004300370737,0.0000002207920172,0.0000001112248319,0.00000005497447242,0.00000002666007113,0.00000001268535013,0.000000005922219977,0.000000002712736011,0.000000001219190168,0.0000000005376210838,0.000000000232606611,0,0,0,0,0,0,0,0,0,0,0.01570396813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MGO is also formed when honey is heated, the higher the MGO value, the more likely the honey has been heated.",-0.094549161023,-0.055947339530,-0.039309445476,-0.042991191358,0.040808791992,-0.087641275897,,,0,0,0,0,0,0,,0.00794790107,0.108930720962,0.08915100151,Plurality=0,0.00000001154173319,0.000000004504262909,0.00000000170876301,0.0000000006301520264,0.0000000002258989649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02121248736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Manuka honey is unheated - because honey should not be exposed to temperatures above 39  C.,-0.019926544339,-0.021246560599,-0.024606979065,0.035256110653,0.030609394172,0.017914319836,,,0,0,0,0,0,0,,0.0116666924,0.244991932842,0.1080124641,Plurality=1,0.0001666016273,0.0001045352907,0.00006433850463,0.00003884215646,0.00002300170573,0.00001336106547,0.000007612836107,0.000004254771167,0.000002332546305,0.000001254320961,0.000000661624265,0.0000003423249147,0.0000001737360454,0.00000008648995958,0.00000004223434816,0.00000002022973699,0.00000000950471319,0.00000000438038351,0.000000001980202451,0.0000000008780745527,0.0000000003819245079,0.0000000001629476132,0,0,0,0.002820263416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The MGO value also increases during storing of honey.,-0.043946723462,-0.071940374155,-0.043855899544,-0.028263776349,0.002833799790,-0.047377518644,,,0,0,0,0,0,0,,0.02586264807,0.299451041036,0.1608186807,Plurality=2,0.004326633118,0.003618737735,0.003000446384,0.002466245778,0.002009595092,0.001623313838,0.001299924541,0.001031942543,0.0008121095441,0.0006335712099,0.0004900021399,0.0003756836041,0.0002855408377,0.0002151473194,0.0001607035136,0.0001189971411,0.00008735130664,0.00006356587161,0.00004585643934,0.00003279430078,0.00002324974233,0.0000163402853,0.00001138473297,0.000007863353231,0.000005384116445,0.004382087598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If MGO is removed from Manuka honey, it remains antibacterial.",-0.056186091789,-0.060688309789,-0.036428493994,-0.060453475906,-0.023541049280,-0.053795066453,,,0,0,0,0,0,0,,0.00625654384,0.048180442966,0.07909831755,Subsidiarity=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04189623907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A conversion of the TA factor into the MGO factor is not possible.,-0.036528214379,-0.076023905759,-0.052328700539,-0.001729014319,0.001689918761,-0.068430425724,,,0,0,0,0,0,0,,0.005849902424,0.158682374572,0.07648465483,Subsidiarity=1,0.000000003074936415,0.0000000009728266272,0.0000000002961630309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006062552123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
