combined,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Manual,Dignity,Solidarity,Plurality,Subsidiarity,Reciprocity,Sustainability,,Boxplots,,,,,Boxplot Data,0,0.25,0.75,1,,Boxplot Data,0.01,0.25,0.75,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This way, we can be 100 certain that their goods meet our high quality and organic standards.",0.602794868602,0.600584622295,0.620592761779,0.600639239588,0.624385456034,0.608883586211,,,0,0,0,0,2,1,,0,Subsidiarity,13,E,M,Subsidiarity=0,0.4643575701,0.5570584227,0.6036031468,0.7102999812,,Subsidiarity=0,0.492880431,0.5570584227,0.6036031468,0.6616286751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And that the farmers are paid fairly.,0.554831142366,0.592608648662,0.584483067917,0.572538380226,0.554395821413,0.606252091649,,,1,0,0,0,2,0,,1,Subsidiarity,13,E,M,Subsidiarity=1,0.6000698633,0.6102625737,0.6255355135,0.6313343174,,Subsidiarity=1,0.600468342,0.6102625737,0.6255355135,0.6312561018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regional produce - worldwide At SONNENTOR, farmers benefit from the fruits of their work - and with them, whole regions.",0.576483905961,0.616408647373,0.606124174642,0.627167844422,0.600210631624,0.646105186084,,,0,2,0,0,0,0,,2,Subsidiarity,13,E,M,Subsidiarity=2,0.5745447793,0.5953899861,0.6152159785,0.6695204954,,Subsidiarity=2,0.5754021338,0.5953899861,0.6152159785,0.6665326034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Due to the sustainable practice of our international cultivation partners, value is added to their products.",0.592449847606,0.626605278602,0.654686081988,0.627699210529,0.618028245118,0.717746709175,,,0,0,0,0,0,2,,0,Reciprocity,14,F,N,Reciprocity=0,0.4214011903,0.5172324106,0.5677008444,0.7010919973,,Reciprocity=0,0.4483025521,0.5172324106,0.5677008444,0.6430473001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products are harvested by hand and processed on site.,0.577235606305,0.539235999763,0.549571332524,0.557355802616,0.525918581008,0.612045256514,,,0,0,0,0,0,0,,1,Reciprocity,14,F,N,Reciprocity=1,0.4647527971,0.5480794336,0.6124858193,0.7006490145,,Reciprocity=1,0.4649168615,0.5480794336,0.6124858193,0.699862865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This creates jobs in rural areas and secures the existence of many farmers' families over several generations.,0.512723566573,0.539263875654,0.573093862298,0.590407676137,0.566619936028,0.586098499347,,,0,2,0,0,0,0,,2,Reciprocity,14,F,N,Reciprocity=2,0.4939191934,0.5654814841,0.6347057979,0.7597464038,,Reciprocity=2,0.4996781892,0.5654814841,0.6347057979,0.7321812614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Because organic cultivation protects the soils and sets the best conditions for long-term, fertile harvests.",0.514178077847,0.542420680410,0.544573351486,0.558197324376,0.534831030208,0.597677869501,,,0,0,0,0,0,2,,0,Sustainability,15,G,O,Sustainability=0,0.439925202,0.5550231322,0.610733394,0.7362547267,,Sustainability=0,0.4658143303,0.5550231322,0.610733394,0.6768507351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We are convinced that this is the right path of international cooperation, and many more companies will eventually take the step towards direct trade.",0.573271668910,0.618764014260,0.644681705830,0.621458386605,0.632699444835,0.605485206057,,,0,0,0,0,2,0,,1,Sustainability,15,G,O,Sustainability=1,0.4870175096,0.5673432977,0.6228360227,0.7163530103,,Sustainability=1,0.4969543384,0.5673432977,0.6228360227,0.689622853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A start has been made.,0.566101093450,0.585345332099,0.585702202234,0.573770860399,0.579693482130,0.575934121074,,,0,0,0,0,0,0,,2,Sustainability,15,G,O,Sustainability=2,0.4639649624,0.5772534281,0.6532360623,0.7920531226,,Sustainability=2,0.505398878,0.5772534281,0.6532360623,0.7783868866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallery Fairness, worldwide!",0.604646116471,0.619763825159,0.646949729448,0.574945644771,0.589592298517,0.593832851021,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW ZEALAND - LAND OF MANUKA HONEY Bernhard Schneider is the only organic beekeeper within 45,000 hectares of land.",0.527980769098,0.558662828587,0.570221391153,0.594352386930,0.567633131023,0.599955248996,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In total, he has access to 732 hectares of land for his honey production, of which 300 hectares are part of an afforestation program.",0.491094680016,0.531722692687,0.542328985200,0.576115152339,0.561686714217,0.578036792812,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This project not only produces delicious honey, but the planting and conservation of trees also compensates for large amounts of CO2.",0.505591496245,0.551821400712,0.572140011841,0.560336421126,0.567600688987,0.611998757127,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey Maori, the natives of New Zealand, have known of the extraordinary qualities of this honey for a long time.",0.531316160540,0.578335940484,0.594407453176,0.543944906239,0.574967540565,0.573133992324,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey originates from the flower nectar of the Manuka myrtle, or just Manuka, a hardy bush in the mountainous regions of New Zealand.",0.472651862582,0.493542627431,0.526614820483,0.520165165424,0.534892884857,0.509211100251,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey extracted from this plant has special healing properties.,0.491311714329,0.516090670700,0.535425293912,0.524104398698,0.535254300969,0.529386990895,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey is full-bodied in flavour and to preserve the special properties of the honey, it should not be heated and therefore not used in hot tea.",0.524615393866,0.508508604757,0.545291421457,0.516352182988,0.496035350402,0.491903727620,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It has a slightly minty flavour at the finish.,0.538582259711,0.583743503160,0.557772472631,0.554008603631,0.537820745091,0.545295592130,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manuka honey is best enjoyed on an empty stomach and never with hot liquid, so that it can unfold its full potential.",0.557622895828,0.543182954452,0.569584416274,0.556534073408,0.552558640983,0.516311032248,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee happy!,0.504791807299,0.493386115929,0.553136331407,0.550269196946,0.494348339639,0.500901510333,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contribution to nature conservation No intervention in the natural cycles of the insects, counteracts bee die-off and SONNENTOR thyme oil is used as a natural and effective remedy against Varroa mite.",0.495284863178,0.521109299090,0.543719088327,0.559006776396,0.525671953692,0.610623714512,,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consequently, the burning of infested beehives can be prevented.",0.522541538816,0.515937012162,0.548759422563,0.581317474861,0.506314282675,0.545163281354,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Further, enough honey is left for the bees in the hives, no additional sugar is needed to feed them and no chemicals are added to the hives.",0.527903996797,0.520939734030,0.523776146400,0.564282389883,0.517308006388,0.566815471798,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement of the valence of Manuka honey TA factor TA means total activity and shows the disinfecting effect of the honey by measuring the natural peroxide activity.,0.509161522673,0.554637859203,0.568985718544,0.550229693439,0.575074588546,0.528670643574,,,0,0,0,0,0,0,,Gauss Curve Data,,,,List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In principle, the higher the factor, the more valuable the honey.",0.553272637767,0.540629982390,0.592314854619,0.575705950644,0.564932975140,0.575896902539,,,0,0,0,0,0,0,,Variance,Mean,Stddev,Label,0.6,0.615,0.63,0.645,0.66,0.675,0.69,0.705,0.72,0.735,0.75,0.765,0.78,0.795,0.81,0.825,0.84,0.855,0.87,0.885,0.9,0.915,0.93,0.945,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Each honey has a TA-factor, but with Manuka honey it is particularly high.",0.508421841484,0.543993000659,0.574778564972,0.533386190629,0.577902359663,0.516082414010,,,0,0,0,0,0,0,,0.001435515251,0.550622102679,0.03788819408,Dignity=0,0.04503897687,0.02485848608,0.01172979233,0.004731898916,0.001631962148,0.0004811873396,0.0001212963662,0.00002614031862,0.000004816188217,0.000000758622139,0.0000001021591009,0.00000001176137506,0.000000001157626939,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We have opted for the TA-Factor, since this factor cannot be influenced unlike other factors and can be clearly measured and not manipulated.",0.572552541349,0.581615393645,0.592381484396,0.557684803750,0.575592348805,0.547474231280,,,0,0,0,0,1,0,,0.001049201521,0.575594167766,0.03239138035,Dignity=1,0.09272640927,0.05876279052,0.03005158983,0.01240219531,0.004130434622,0.001110092097,0.0002407622215,0.00004213895344,0.000005951757409,0.0000006783795845,0.00000006239738514,0.000000004631547085,0.0000000002774289953,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The TA factor is ascertained by drawing a sample, applying it to a nutrient agar plate and measuring the percentage of the bacteria on the nutrient plate that have been killed by the honey.",0.518186903300,0.523355900312,0.535481319517,0.541410943167,0.552347431965,0.510671393077,,,0,0,0,0,0,0,,0.001262308758,0.600553508349,0.03552898477,Dignity=2,0.1122728029,0.1033774209,0.07964638679,0.05134471191,0.02769584511,0.01250036745,0.004720849924,0.001491787167,0.0003944416769,0.00008726658551,0.00001615483133,0.000002502338915,0.0000003243240011,0.00000003517234348,0.000000003191631771,0.0000000002423335313,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGO factor refers to the level of methylglyoxal in the honey.,0.493148977042,0.500295126102,0.494610779817,0.517791330784,0.517713777409,0.499134954867,,,0,0,0,0,0,0,,0.001513819944,0.561890115147,0.03890783911,Solidarity=0,0.06346601799,0.04038948891,0.0221536865,0.01047307455,0.004267297535,0.001498587811,0.0004535884715,0.0001183293179,0.0000266056121,0.000005155902426,0.0000008611655852,0.0000001239707369,0.00000001538162576,0.000000001644886133,0.0000000001516072532,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylglyoxal is produced by the degradation of glucose.,0.507030994792,0.483725481639,0.481459508113,0.512590512714,0.477671656072,0.489832829936,,,0,0,0,0,0,0,,0.001998871224,0.596205346372,0.04470873767,Solidarity=1,0.08891056712,0.08168523491,0.06705760287,0.04918886107,0.0322403531,0.01888196084,0.009881176934,0.004620452815,0.001930521681,0.0007207407999,0.0002404350686,0.00007166890952,0.00001908877511,0.000004542967257,0.0000009660852071,0.0000001835716189,0.00000003116807096,0.000000004728556583,0.0000000006410051768,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Among other things, MGO is responsible for premature aging of the cells and is also produced during the combustion of diesel.",0.485765949533,0.507128394173,0.478488846080,0.541461413141,0.444722388375,0.506446183090,,,0,0,0,0,0,0,,0.001621562514,0.616449361511,0.04026862941,Solidarity=2,0.09113999805,0.09900609124,0.09361690066,0.07705237813,0.05520231357,0.03442452499,0.01868607455,0.008828921229,0.003631086971,0.001299885516,0.0004050540715,0.0001098652488,0.00002593863569,0.000005330566424,0.0000009535402583,0.0000001484718609,0.00000002012281407,0.000000002373956305,0.0000000002437789331,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MGO is also formed when honey is heated, the higher the MGO value, the more likely the honey has been heated.",0.492441351092,0.511192167930,0.515236673566,0.526261803150,0.530529423941,0.490967473703,,,0,0,0,0,0,0,,0.00174038496,0.580092168283,0.04171792133,Plurality=0,0.08533721649,0.06738271367,0.04675328963,0.02850555515,0.01527216071,0.007189937588,0.00297442764,0.001081272975,0.000345398893,0.00009695276227,0.00002391404738,0.000005183219925,0.0000009871879378,0.0000001652166061,0.00000002429747846,0.000000003139947362,0.0000000003565637447,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Manuka honey is unheated - because honey should not be exposed to temperatures above 39  C.,0.501949752362,0.479157421509,0.502392319229,0.513086435483,0.482344775421,0.462306416894,,,0,0,0,0,0,0,,0.002195872362,0.647489826862,0.04686013617,Plurality=1,0.0509429588,0.06694537475,0.07940667599,0.08501459382,0.08215423954,0.07165830048,0.05641609938,0.04009033042,0.02571439103,0.0148871951,0.007779461649,0.003669325478,0.001562150805,0.0006002880604,0.0002082075539,0.0000651828412,0.00001841917268,0.000004697934747,0.000001081543195,0.000000224740212,0.0000000421519559,0.000000007135997749,0.00000000109041472,0.0000000001503933852,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The MGO value also increases during storing of honey.,0.474129614130,0.497060640884,0.501908778640,0.528739130968,0.535465384260,0.530700975271,,,0,0,0,0,0,0,,0.006471247299,0.655351388784,0.08044406317,Plurality=2,0.03913892629,0.04373000374,0.04719000856,0.04918362473,0.04950977386,0.04813503452,0.04519928523,0.04099225228,0.03590640533,0.0303767993,0.0248205859,0.01958763401,0.01492972701,0.01099060722,0.007814324505,0.005366129282,0.003559022679,0.002279818711,0.001410489334,0.0008428285407,0.0004864168325,0.0002711301981,0.000145964459,0.00007589554551,0.00003811407518,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If MGO is removed from Manuka honey, it remains antibacterial.",0.507523274021,0.515507736614,0.518200510778,0.528454266407,0.507925031402,0.499045267434,,,0,0,0,0,0,0,,0.001347000059,0.579190016352,0.03670149941,Subsidiarity=0,0.09255805984,0.06753055707,0.04169104716,0.02177918662,0.0096271312,0.003600878818,0.001139663143,0.0003052114921,0.00006916424527,0.00001326229805,0.000002151851549,0.0000002954351817,0.00000003432167683,0.000000003373891914,0.0000000002806404154,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
